HDI Rank,Country,GDI_Value,GDI_Group,HDI_Female,HDI_Male,Lif_Expec_Female,Lif_Excep_Male,Excep_Yrs_Schooling_Female,Excep_Yrs_Schooling_Male,Mean_Yrs_Schooling_Female,Mean_Yrs_Schooling_Male,GNI_PC_Female,GNI_PC_Male
1.0,Norway,0.99,1.0,0.949,0.959,84.4,80.4,18.8,17.4,13.0,12.8,58.548,74.280
2.0,,0.981,1.0,0.943,0.961,83.9,80.7,18.8,18.6,12.9,12.4,,
2.0,,0.968,2.0,0.934,0.965,85.6,81.9,16.2,16.4,12.7,13.6,,
4.0,,0.972,2.0,0.933,0.959,87.7,82.0,17.1,16.8,11.9,12.7,,
4.0,,0.969,2.0,0.933,0.963,84.5,81.5,20.2,18.0,12.6,13.0,,
6.0,,0.972,2.0,0.933,0.96,83.7,78.9,16.9,17.0,13.9,14.4,,
7.0,,0.983,1.0,0.936,0.953,84.6,81.0,20.4,18.6,12.7,12.4,,
8.0,,0.976,1.0,0.932,0.955,85.4,81.5,22.4,21.5,12.8,12.7,,
8.0,,0.966,2.0,0.926,0.96,84.0,80.6,18.8,18.2,12.2,12.7,,
10.0,,0.983,1.0,0.931,0.948,82.9,78.9,19.6,18.3,12.8,12.4,,
11.0,,0.99,1.0,0.932,0.942,84.7,79.1,20.2,18.6,13.0,12.6,,
11.0,,0.985,1.0,0.931,0.945,85.7,81.5,16.7,16.3,11.2,12.1,,
13.0,,0.97,2.0,0.916,0.944,83.0,79.6,18.0,17.0,13.2,13.2,,
14.0,,0.974,2.0,0.918,0.943,83.9,79.3,20.7,18.8,11.9,12.2,,
14.0,,0.964,2.0,0.912,0.946,84.0,80.6,19.7,17.9,12.7,12.9,,
16.0,,0.986,1.0,0.922,0.935,84.4,80.4,16.7,15.7,13.4,13.3,,
17.0,,0.994,1.0,0.922,0.928,81.4,76.3,16.9,15.7,13.5,13.4,,
18.0,,0.964,2.0,0.903,0.937,83.9,79.2,16.4,15.8,12.2,12.9,,
19.0,,0.973,2.0,0.904,0.929,84.5,81.3,16.8,15.6,13.1,13.0,,
19.0,,0.978,1.0,0.906,0.927,87.7,81.5,15.2,15.3,13.1,12.6,,
19.0,,,,,,,,13.8,16.0,,,,
22.0,,1.001,1.0,0.916,0.914,84.0,78.6,18.3,16.8,12.6,12.7,,
23.0,,0.936,3.0,0.881,0.941,86.0,79.9,15.9,17.0,11.4,12.9,,
23.0,,0.976,1.0,0.901,0.923,84.3,80.2,14.3,14.2,12.0,12.6,,
25.0,,0.986,1.0,0.896,0.909,86.2,80.8,18.0,17.2,10.2,10.3,,
26.0,,0.987,1.0,0.895,0.907,85.5,79.7,16.0,15.3,11.3,11.7,,
27.0,,0.985,1.0,0.893,0.906,81.9,76.8,17.5,16.1,12.5,12.9,,
28.0,,0.966,2.0,0.877,0.909,84.3,80.7,16.5,15.7,11.1,11.6,,
29.0,,1.017,1.0,0.896,0.882,82.7,74.4,16.8,15.2,13.6,12.7,,
29.0,,0.968,2.0,0.875,0.905,85.5,81.3,16.4,15.8,10.2,10.6,,
31.0,,0.931,3.0,0.842,0.905,79.3,77.3,14.8,14.1,11.7,12.4,,
32.0,,0.963,2.0,0.869,0.902,84.7,79.8,17.5,18.1,10.3,10.8,,
33.0,,0.979,1.0,0.876,0.895,83.0,78.9,15.4,14.9,12.1,12.3,,
34.0,,1.03,2.0,0.894,0.868,81.4,70.3,17.1,16.2,13.1,13.0,,
35.0,,1.007,1.0,0.88,0.874,82.6,74.8,16.9,15.3,12.5,12.4,,
36.0,,,,,,,,,,10.4,10.6,,
37.0,,1.036,2.0,0.879,0.849,80.0,70.2,16.8,15.5,13.4,12.6,,
38.0,,0.988,1.0,0.858,0.868,84.9,79.0,16.5,16.6,9.4,9.1,,
39.0,,0.992,1.0,0.855,0.862,81.0,74.0,15.0,14.0,12.6,12.8,,
40.0,,0.981,1.0,0.844,0.861,80.3,73.2,15.5,14.9,11.7,12.2,,
40.0,,0.896,5.0,0.791,0.883,76.8,73.9,16.0,16.2,9.8,10.5,,
42.0,,0.922,4.0,0.806,0.874,78.4,76.4,16.7,16.1,9.1,9.7,,
43.0,,0.963,2.0,0.833,0.865,82.4,77.8,16.7,16.2,10.5,10.7,,
43.0,,0.99,1.0,0.848,0.857,81.6,75.3,16.0,14.5,11.1,12.2,,
45.0,,1.03,2.0,0.866,0.841,82.0,79.1,14.1,11.3,11.3,9.4,,
46.0,,0.993,1.0,0.835,0.84,80.0,73.2,18.9,16.4,11.1,10.7,,
47.0,,0.981,1.0,0.83,0.846,77.1,74.7,14.8,13.9,9.1,9.2,,
48.0,,0.966,2.0,0.814,0.843,79.3,74.4,15.4,14.7,10.9,12.3,,
49.0,,0.991,1.0,0.824,0.831,79.5,72.6,14.7,13.9,10.8,11.4,,
50.0,,,,,,,,16.3,15.3,,,,
51.0,,0.98,1.0,0.807,0.823,77.7,69.2,15.8,15.1,10.9,11.9,,
52.0,,1.007,1.0,0.823,0.817,77.8,67.1,15.3,14.8,11.9,12.1,,
53.0,,1.007,1.0,0.824,0.819,79.6,69.7,15.7,15.2,12.2,12.4,,
54.0,,0.924,4.0,0.784,0.848,80.6,74.7,16.0,17.1,7.3,9.0,,
55.0,,1.016,1.0,0.814,0.801,81.5,74.1,17.1,15.1,9.2,8.6,,
56.0,,0.995,1.0,0.813,0.817,78.7,71.6,14.6,14.2,11.5,11.2,,
57.0,,1.019,1.0,0.826,0.811,81.8,75.4,13.5,12.4,11.2,10.0,,
58.0,,,,,,76.1,71.7,,,11.7,11.4,,
58.0,,1.008,1.0,0.816,0.809,80.5,77.8,16.8,14.0,11.0,10.3,,
60.0,,0.936,3.0,0.768,0.821,80.3,76.1,15.0,13.7,10.6,9.4,,
