HDI Rank,Country,GDI_Value,GDI_Group,HDI_Female,HDI_Male,Lif_Expec_Female,Lif_Excep_Male,Excep_Yrs_Schooling_Female,Excep_Yrs_Schooling_Male,Mean_Yrs_Schooling_Female,Mean_Yrs_Schooling_Male,GNI_PC_Female,GNI_PC_Male,Cluster
2,Ireland,0.981,1,0.943,0.961,83.9,80.7,18.8,18.6,12.9,12.4,55540.0,81401.0,4
2,Switzerland,0.968,2,0.934,0.965,85.6,81.9,16.2,16.4,12.7,13.6,57840.0,81137.0,4
4,"Hong Kong, China (SAR)",0.972,2,0.933,0.959,87.7,82.0,17.1,16.8,11.9,12.7,45961.0,82993.0,4
4,Iceland,0.969,2,0.933,0.963,84.5,81.5,20.2,18.0,12.6,13.0,46413.0,62883.0,4
6,Germany,0.972,2,0.933,0.96,83.7,78.9,16.9,17.0,13.9,14.4,45277.0,65599.0,4
7,Sweden,0.983,1,0.936,0.953,84.6,81.0,20.4,18.6,12.7,12.4,47709.0,61287.0,4
8,Australia,0.976,1,0.932,0.955,85.4,81.5,22.4,21.5,12.8,12.7,39287.0,56954.0,4
8,Netherlands,0.966,2,0.926,0.96,84.0,80.6,18.8,18.2,12.2,12.7,46815.0,68685.0,4
10,Denmark,0.983,1,0.931,0.948,82.9,78.9,19.6,18.3,12.8,12.4,49296.0,68134.0,4
11,Finland,0.99,1,0.932,0.942,84.7,79.1,20.2,18.6,13.0,12.6,40759.0,56485.0,4
11,Singapore,0.985,1,0.931,0.945,85.7,81.5,16.7,16.3,11.2,12.1,71387.0,103421.0,4
13,United Kingdom,0.97,2,0.916,0.944,83.0,79.6,18.0,17.0,13.2,13.2,33323.0,59135.0,4
14,Belgium,0.974,2,0.918,0.943,83.9,79.3,20.7,18.8,11.9,12.2,41948.0,62427.0,4
14,New Zealand,0.964,2,0.912,0.946,84.0,80.6,19.7,17.9,12.7,12.9,31233.0,50693.0,5
16,Canada,0.986,1,0.922,0.935,84.4,80.4,16.7,15.7,13.4,13.3,39459.0,57734.0,4
17,United States,0.994,1,0.922,0.928,81.4,76.3,16.9,15.7,13.5,13.4,50590.0,77338.0,4
18,Austria,0.964,2,0.903,0.937,83.9,79.2,16.4,15.8,12.2,12.9,39386.0,73528.0,4
19,Israel,0.973,2,0.904,0.929,84.5,81.3,16.8,15.6,13.1,13.0,29665.0,50819.0,5
19,Japan,0.978,1,0.906,0.927,87.7,81.5,15.2,15.3,13.1,12.6,30584.0,55869.0,4
19,Liechtenstein,0.965,..,0.73,0.76,76.8,70.9,13.8,16.0,9.1,9.25,8399.5,16951.5,3
